context,prompt,answer
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","Després de deixar la companyia d'Edison, Tesla es va associar amb dos homes de negocis el 1886, Robert Lane i Benjamin Vail, que van acordar finançar una empresa d'il·luminació elèctrica en nom de Tesla, Tesla Electric Light & Manufacturing. La companyia va instal·lar sistemes d’il·luminació basats en llum d’arc elèctric dissenyats per Tesla i també tenia dissenys per a commutadors de màquines elèctriques de dinamo, les primeres patents expedides per Tesla als EUA.
----
Pregunta: Què es produïa a la companyia de Tesla?
Resposta: sistemes d’il·luminació basats en llum d’arc elèctric
----
Pregunta: A quin edifici es va traslladar el V&A des de la seva ubicació original a Marlborough House?
Resposta: Somerset House
----
Pregunta: Quina facultat de polítiques públiques va trobar la seva seu a l’edifici que va dissenyar Ludwig Mies van der Rohe?
Resposta: l’Escola Harris d’Estudis sobre Polítiques Públiques
----
Pregunta: Quin tipus de grup és l’Estat Islàmic?
Resposta: ",militant extremista gihadista wahhabita/salafista
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","Els himnes de Luter eren sovint evocats per concrets esdeveniments de la seva vida i la Reforma que eixia. Aquest comportament va començar quan va tenir notícia de l’execució de Johann Esch i Heinrich Voes, les primeres persones martiritzades per l’Església catòlica romana per tenir actituds luteranes, fet que va provocar que Luter escrivís l’himne “Ein neues Lied wir heben an” (“Una nova cançó formem”), que normalment es coneix per la traducció a l’anglès de John C. Messenger del títol i primera línia “Flung to the Heedless Winds” i cantada a la tonada Ibstone que va compondre l’any 1875 Maria C. Tidderman.
----
Pregunta: Com es coneix l’himne en anglès?
Resposta: Flung to the Heedless Winds
----
Pregunta: Quin indi famós va practicar la desobediència civil?
Resposta: Gandhi
----
Pregunta: Què causa les deformacions en les estructures?
Resposta: tensor tensió
----
Pregunta: Qui lidera l’Estat Islàmic?
Resposta: ",àrabs sunnites
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","L'emperador Gegeen Kan, fill i successor d'Ayurbarwada, va governar només dos anys, del 1321 al 1323. Va continuar les polítiques del seu pare per reformar el govern basat en els principis confucians, amb l'ajut del seu recentment nomenat gran canceller Baiju. Durant el seu regnat, el Da Yuan Tong Zhi (xinès: 大元通制, ""les institucions integrals del Gran Yuan""), es va promulgar formalment una enorme col·lecció de codis i reglaments de la dinastia Yuan iniciada pel seu pare. Gegeen va ser assassinat en un cop d’estat en el qual van participar cinc prínceps d’una facció rival, potser una elit estepària contrària a les reformes confucianes. Van col·locar Yesün Temür (o Taidingdi) al tron i, després d'un intent fallit de calmar els prínceps, també va sucumbir al regicidi.
----
Pregunta: Quants prínceps rivals van participar en l’assassinat de Gegeen?
Resposta: cinc
----
Pregunta: Com es diu la secció de l’Alta vall del Rin reconeguda per la UNESCO?
Resposta: el Rin romàntic
----
Pregunta: Quan va tornar a ocupar l'exèrcit alemany Renània?
Resposta: 1936
----
Pregunta: Sobre un territori de quantes persones tenia el control l’Estat Islàmic el març del 2015?
Resposta: ",deu milions
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","La defensa dels Panthers va cedir només 308 punts, situant-se en la sisena posició a la lliga, alhora que va liderar la NFL en intercepcions amb 24 i va comptar amb quatre seleccions Pro Bowl. El línia defensiu interior de la Pro Bowl, Kawann Short, va liderar l'equip en sacs amb 11, alhora que va forçar tres pèrdues de pilota i en va recuperar dues. El company de línia Mario Addison va afegir 6 ½ sacs. La línia dels Panthers també comptava amb el destacat veterà línia defensiu exterior Jared Allen, 5 vegades jugador de la Pro Bowl que va ser el líder de sacs de la NFL amb carrera activa amb 136, juntament amb el línia defensiu exterior Kony Ealy, que tenia 5 sacs en només 9 sortides. Darrere d’ells, dos dels Panthers, tres rerelínies inicials, també van ser seleccionats per jugar al Pro Bowl: Thomas Davis i Luke Kuechly. Davis va aconseguir 5½ sacs, quatre pèrdues de pilota forçades i quatre intercepcions; mentre que Kuechly liderava l'equip en placatges (118), va forçar dues pèrdues de pilota i va interceptar quatre passades pròpies. El secundari dels Carolina va tenir com a protagonistes el saguer de la Pro Bowl Kurt Coleman, que va dirigir l’equip amb la seva marca personal de set intercepcions, alhora que també va acumular 88 placatges, i el defensor lateral de la Pro Bowl, Josh Norman, que es va convertir en un shutdown de córner durant la temporada i va tenir quatre intercepcions, dues de les quals es van convertir en touchdowns.
----
Pregunta: Qui va tenir cinc sacs en nou partits com a titular dels Carolina Panthers?
Resposta: Kony Ealy
----
Pregunta: Si es multipliquen dos enters i es genera un valor, com s’anomena aquest conjunt d’expressions?
Resposta: conjunt de triples
----
Pregunta: En quin episodi reconeix el Doctor Who que havia tingut un germà?
Resposta: Smith i Jones
----
Pregunta: Què li falta a l’Estat Islàmic per part de la comunitat internacional?
Resposta: ",reconeixement
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","Posteriorment, es va trobar un tros de paper en què Luter havia escrit la seva última declaració. La declaració era en llatí, a part de “Som captaires”, que era en alemany.
----
Pregunta: Què es va descobrir posteriorment escrit per Luter?
Resposta: la seva última declaració
----
Pregunta: Què preocupa als ambientòlegs que es perdi a la selva de l’Amazones?
Resposta: biodiversitat
----
Pregunta: On es poden reunir comissions fora del Parlament?
Resposta: altres llocs d’Escòcia
----
Pregunta: Què es va proclamar l’Estat Islàmic el 2014?
Resposta: ",califat
"A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.","Els paleoclimatòlegs mesuren la proporció d’oxigen-18 i d’oxigen-16 a les closques i als esquelets dels organismes marins per esbrinar com era el clima fa milions d’anys (vegeu el cicle de la proporció dels isòtops d’oxigen). Les molècules de l’aigua de mar que contenen l’isòtop més lleuger, l’oxigen-16, s’evaporen lleugerament més ràpid que les molècules d’aigua que contenen oxigen-18, que és el 12 % més pesant; aquesta disparitat augmenta a temperatures més baixes. Durant els períodes de temperatures globals més baixes, la neu i la pluja d’aquesta aigua evaporada sol contenir més oxigen-16, i l’aigua de mar que queda enrere sol contenir més oxigen-18. Llavors, els organismes marins incorporen més oxigen-18 als esquelets i closques que si el clima fos més càlid. Els paleoclimatòlegs també mesuren directament aquesta proporció en les molècules d’aigua de les mostres de nuclis de gel amb una antiguitat que assoleix els diversos centenars de milers d’anys.
----
Pregunta: Quin grup de científics mesura les quantitats d’oxigen en els animals marins?
Resposta: Els paleoclimatòlegs
----
Pregunta: Què va passar durant l’endarreriment degut a l’olor dels vestits espacials en l’exercici d’entrenament i prova?
Resposta: foc d’origen elèctric
----
Pregunta: On s’ha d’inscriure un tècnic en farmàcia?
Resposta: al registre del Consell General de Farmacèutics (CGF)
----
Pregunta: Quina època cobreix la guerra dels Set Anys?
Resposta: ",1756 fins a la signatura del tractat de pau el 1763
"A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.","La defensa dels Panthers va cedir només 308 punts, situant-se en la sisena posició a la lliga, alhora que va liderar la NFL en intercepcions amb 24 i va comptar amb quatre seleccions Pro Bowl. El línia defensiu interior de la Pro Bowl, Kawann Short, va liderar l'equip en sacs amb 11, alhora que va forçar tres pèrdues de pilota i en va recuperar dues. El company de línia Mario Addison va afegir 6 ½ sacs. La línia dels Panthers també comptava amb el destacat veterà línia defensiu exterior Jared Allen, 5 vegades jugador de la Pro Bowl que va ser el líder de sacs de la NFL amb carrera activa amb 136, juntament amb el línia defensiu exterior Kony Ealy, que tenia 5 sacs en només 9 sortides. Darrere d’ells, dos dels Panthers, tres rerelínies inicials, també van ser seleccionats per jugar al Pro Bowl: Thomas Davis i Luke Kuechly. Davis va aconseguir 5½ sacs, quatre pèrdues de pilota forçades i quatre intercepcions; mentre que Kuechly liderava l'equip en placatges (118), va forçar dues pèrdues de pilota i va interceptar quatre passades pròpies. El secundari dels Carolina va tenir com a protagonistes el saguer de la Pro Bowl Kurt Coleman, que va dirigir l’equip amb la seva marca personal de set intercepcions, alhora que també va acumular 88 placatges, i el defensor lateral de la Pro Bowl, Josh Norman, que es va convertir en un shutdown de córner durant la temporada i va tenir quatre intercepcions, dues de les quals es van convertir en touchdowns.
----
Pregunta: Quantes pèrdues de pilota forçades va tenir Thomas Davis?
Resposta: quatre
----
Pregunta: A qui van vèncer els Broncos en el partit de divisió?
Resposta: Pittsburgh Steelers
----
Pregunta: Quin document va formular el Parlament de Victòria?
Resposta: Victoria Constitution Act 1855
----
Pregunta: Quant de temps van durar els combats a la guerra dels Set Anys?
Resposta: ",sis anys
"A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.","El 1466, potser 40.000 persones van morir a París a causa de la pesta. Durant els segles XVI i XVII, la pesta va estar present a París al voltant del 30 % del temps. La pesta negra va assolar Europa durant tres anys abans de prosseguir a Rússia, on la malaltia va estar present en algun lloc del país 25 cops entre el 1350 i el 1490. Les epidèmies de pesta van assolar Londres els anys 1563, 1593, 1603, 1625, 1636 i 1665, i van reduir-ne la població entre el 10 i el 30 % durant aquests anys. Més del 10 % de la població d’Amsterdam va morir entre 1623–25, entre 1635–36, el 1655 i el 1664. A Venècia, la pesta va estar present 22 vegades entre el 1361 i el 1528. La pesta de 1576–77 va matar 50.000 persones a Venècia, gairebé un terç de la població. Els últims brots a l’Europa central van incloure la pesta italiana de 1629–1631, que està associada amb els moviments de les tropes durant la guerra dels Trenta Anys, i la gran pesta de Viena el 1679. Més del 60 % de la població de Noruega va morir entre 1348–50. L’últim brot de pesta va assolar Oslo el 1654.
----
Pregunta: Quantes vegades va estar present la pesta a Venècia?
Resposta: 22
----
Pregunta: A quin arquitecte alemany se li va demanar que fes un disseny per al museu?
Resposta: Gottfried Semper
----
Pregunta: Qui va escriure sobre el procés de destil·lació per a obtenir aigua potable a partir de l’aigua de mar?
Resposta: Al-Muwaffaq
----
Pregunta: Quan es va prendre Mont-real?
Resposta: ",el 1760
"A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.","Peyton Manning es va convertir en el primer quarterback que va dirigir dos equips diferents a múltiples Super Bowls. També és el quarterback de més edat que ha jugat en una Super Bowl als 39 anys. El rècord anterior el tenia John Elway, que va portar els Broncos a la victòria a la Super Bowl XXXIII als 38 anys i actualment és el vicepresident executiu d’operacions de futbol i el director general del Denver.
----
Pregunta: Abans de Manning, qui era el quarterback de més edat que havia jugat en una Super Bowl?
Resposta: John Elway
----
Pregunta: Qui va fundar McKinsey & Company?
Resposta: James O. McKinsey
----
Pregunta: Quan van tornar els republicans francesos a construir l’imperi francès?
Resposta: quan Alemanya va començar a construir el seu propi imperi colonial
----
Pregunta: Quina va ser la primera batalla el 1754?
Resposta: ",batalla de Jumonville Glen
"A causa de tenir cossos tous i gelatinosos, els ctenòfors són extremament poc freqüents com a fòssils, i els fòssils que s’han interpretat com a ctenòfors s’han trobat només a Lagerstätten, indrets on el medi era excepcionalment adequat per a la preservació dels teixits tous. Fins a mitjan dècada dels anys 90 només es coneixien dos espècimens prou bons per analitzar-los, ambdós pertanyien al grup terminal, del període devonià més inicial (Emsià). Es van trobar llavors altres tres possibles espècies a Burgess Shale i a altres roques canadenques d’edat similar, amb una antiguitat de 505 milions d’anys, corresponents al període Cambrià mitjà. Aparentment, cap dels tres no tenien tentacles però tenien entre 24 i 80 fileres de cilis, molt més que les 8 típiques de les espècies vives. També sembla que havien tingut estructures semblants a òrgans interns, a diferència del que es pot observar als ctenòfors vius. Una de les espècies fòssils observada per primera vegada el 1996 tenia una boca gran, aparentment envoltada per un extrem doblegat que podria haver estat muscular. Un any després, a la Xina es van trobar indicis que suggereixen que aquests ctenòfors estaven molt estesos en el Càmbric, però potser eren molt diferents de les espècies modernes –per exemple, les fileres de cilis d’un fòssil estaven sobre unes prominències. El fòssil Eoandromeda del període Ediacarià podria representar un ctenòfor.","El 1891, el químic escocès James Dewar va aconseguir produir suficient oxigen líquid per estudiar-lo. Cada un pel seu compte, el 1895 l’enginyer alemany Carl von Linde i l’enginyer britànic William Hampson van desenvolupar el primer procés viable des del punt de vista comercial per produir oxigen líquid. Els dos van baixar la temperatura de l’aire fins que es va liquar i després van destil·lar els gasos constituents bullint-los un a un i capturant-los. Posteriorment, el 1901, es va demostrar per primer cop la soldadura oxiacetilènica cremant una barreja d’acetilè i oxigen. Aquest mètode de soldadura i tall de metalls va esdevenir comú.
----
Pregunta: En quin any Dewar va experimentar amb l’oxigen líquid?
Resposta: 1891
----
Pregunta: De què depenen els tècnics en farmàcia cada vegada més?
Resposta: l’automatització
----
Pregunta: Quan van tenir Joseph Schumpeter i Norman Angell el seu període d’escriptura més prolífic?
Resposta: abans de la Primera Guerra Mundial
----
Pregunta: Per què els ctenòfors són extremament poc freqüents com a fòssils?
Resposta: ",tenir cossos tous i gelatinosos
