prompt,answer,f1
"Barcelona en Comú will resign a councillor in all the votes of the Barcelona City Council plenary where Councillor Joaquim Forn can not participate. 'In no case will Forn's absence be used to win any vote', sources from the consistory have confirmed VilaWeb. Today, the Supreme Court has refused permission for Forn to go out of jail to attend tomorrow's plenary session. The party of the mayoress Ada Colau has made the decision not to alter the majorities with this gesture. The resignation of BComú will have a special value tomorrow, when the plenary votes for the approval of the cartipàs. The nine councillors – commons – they won the eight votes, but they will be in their twenty, they will be in the majority.
-----
Question: How many councilors does the PSC have in the Barcelona City Council?
Answer: eight
-----
Question: When will Barcelona en Comú resign from a councillor?
Answer:",in all the votes of the plenary session of the City Council of Barcelona where the Councilor of Junts per Catalunya Joaquim Forn can not participate,0.3333333333333333
"The royal, military and ecclesiastical arms handed over the donations to the king on 18 December. On 19 December Peter III annulled the abuses of the officers against those who had not gone to fight in the confrontation with Castilians of Peter the Cruel, and suppressed the tax of 8 sous, an initiative that Bernat de Cruïlles had already proposed to the abbots in his letter of 26 September. The next day, 20 December, the king withdrew the prohibition of going to ecclesiastical justice. In this way a legal and stable tax agreed in the Cortes with the necessary guarantees replaced the three previous improvised taxes, which gave stability to the situation and had to contribute to stop the feet in Castil, at a very difficult moment.
-----
Question: How many salaries was the tax that Peter III suppressed?
Answer: 8 sous
-----
Question: Who endured the abuses of the officers?
Answer: those who had not gone to fight in the confrontation with Castilians of Pere el Cruel
-----
Question: What did King Peter III withdraw on 20 December?
Answer:",ban on going to ecclesiastical justice,0.6666666666666666
"The municipal group of the CUP-Capgirem in the City Council of Barcelona has criticized this Wednesday that Transports Metropolitans de Barcelona (TMB) has only published a part of the list of salaries paid by its managers: 'They miss the data of the 550 members of the management team out of agreement'. In a statement, the party has also pointed out that the list is missing to know if the add-ons are quantified 'the weekend guards, the variable and the social benefits they enjoy', and has remembered that this information should be public since 2007. He has assured that it seems 'a lack of respect' that the president of TMB and councilor of mobility of Barcelona, Mercedes, Vidal, after the big talk about the political ins of 'TMB not have been forced to see that the company's management's agenda '.
-----
Question: How many executives has your salary not been published?
Answer: 550
-----
Question: Who is the president of the TMB?
Response: Mercedes Vidal
-----
Question: Since when should salary information be public?
Answer:",since 2007,0.6666666666666666
"In 1899 a statue of Lesseps of more than 10 meters in bronze was erected at the entrance of the Suez Canal to commemorate his contribution to the company. The statue represented Lesseps of entire body with the extended arm welcoming visitors who crossed the canal. It was destroyed with dynamite in 1956 during the Suez Crisis and later rebuilt and relocated in a small garden in Port Fuad.
-----
Question: How many meters did the statue of Lesseps have that was erected in 1899?
Answer: 10 meters
-----
Question: Where was the statue?
Answer: at the entrance of the Suez Canal
-----
Question: In what position was the arm of the statue?
Answer: extended
-----
Question: What metal was the statue made of?
Answer:",bronze,1.0
"On July 25, 1713, the Bourbon army—about 25,000 men commanded by the Duke of Polypoly—, began the siege in the city, which had gathered many fighters from the other territories of the Crown of Aragon, especially Aragonese, who formed a cavalry regiment, another riflemen, two companies of volunteers on foot and one of volunteers on horseback, and Valencians and the islands that organized several companies of volunteers, and made some unsuccessful attacks due to the poor artillery capacity of the attackers. General Villaroel, Bourbon military until the offensive of 1710, helped the Catalan army, among the incompenterías, was the fact that allowed the most effective siege of the city of the Basque Country and the in the invapornian.
-----
Question: How many men formed the Bourbon army?
Answer: about 25,000
-----
Question: How did the Duke of Polypoli see himself in maintaining an effective siege of the city?
Answer: Incompetent
-----
Question: What allowed the ineffectiveness of the siege in the maritime sphere?
Answer: the arrival of groceries, powder and ammunition
-----
Question: Which army was unable to stop the guerrillas of the Plana de Vic and the Lluçanès?
Answer:",French-Spanish,0.0
"In 1972, French physicist Francis Perrin discovered fifteen old and already inactive natural nuclear fission reactors in three separate ore deposits at the Oklo mine in Gabon, West Africa, which are collectively known as “Oklo’s fossil reactors”. The ore deposit is 1,700 million years old; at that time, uranium 235 constituted approximately 3% of the total land uranium. This percentage is high enough to allow the occurrence of a sustained chain fission nuclear reaction, provided other conditions are necessary. The sediment capacity of the U.S. nuclear environment has been supported by the U.S. government as a repository of nuclear products that are used to store Mountain’s the viability for nuclear waste.
-----
Question: How many reactors did you discover?
Answer: fifteen
-----
Question: Where did Francis Perrin find nuclear fission reactors?
Answer: In the Oklo Mine
-----
Question: How old is the deposit?
Answer: 1.7 billion years
-----
Question: What kind of uranium did they contain?
Answer:",235,0.0
"There are many types of plant viruses, but they often only cause a loss of production, and it is not economically viable to try to control them. Plant viruses are often transmitted from one plant to another by organisms known as vectors. They are usually insects, but it has also been shown that some fungi, nematodes and single-celled organisms are vectors. When it is considered economical to control phytovirus infections (in perennial fruits, for example), efforts are concentrated on killing vectors and removing alternative hosts such as weeds. Phytoviruses are harmless to humans and other animals, only as they can reproduce in living plant cells.
-----
Question: How many types of plant viruses are there?
Answer: Many
-----
Question: How are viruses commonly transmitted from one plant to another?
Answer: for organisms known as vectors
-----
Question: How do phytoviruses turn out for humans?
Answer: harmless
-----
Question: Where are the phytoviruses reproduced?
Answer:",in living plant cells,1.0
"The first four deaths from coronavirus in Northern Catalonia, which have been in the last three days, according to France 3. The four people belonged to the Roma community of Perpignan and one of them was a girl of twenty-four years with previous pathologies. Two of the four victims were seventy-five years old and the other forty-five, also with previous pathologies. In all of Northern Catalonia yesterday thirty-five cases of coronavirus were registered, nine more than before yesterday. In Perpignan there are two main foci where the infections are concentrated. The first is the neighborhood of Sant Jaume and the second the neighborhood of Vernet.
-----
Question: How many important foci of coronavirus are there in Perpignan?
Answer: two
-----
Question: What did the twenty-four-year-old girl who died have?
Answer: previous pathologies
-----
Question: What community were the four dead people?
Answer:",gypsy,0.0
"The pro-independence bloc would exceed 50% of the votes if there were now elections to the Parliament of Catalonia, according to the data of the barometer of the Opinion Studies Center (CEO) that has been made public today. ERC would get 25.4% of the votes, JxCat 19% and the CUP, 7,3% that, added, are 51.7% of the votes. In seats, it is the victory of ERC with 38-39 deputies, ahead of JxCat, which would get 29-31. The CUP would reach 9-10 seats, so that the independence would add between 76 and 80 seats, above the 70 that currently has. The third group would be the PSC, with 24-25, and the PP would have a breakdown of 14-50 seats and the PP would have the same.
-----
Question: How many MPs would you get ERC according to the CEO?
Answer: 38-39
-----
Question: Who would exceed 50% of the votes if there were elections now?
Answer: The independence blog
-----
The question is: What political formation could Parliament be involved in?
Answer:",Vox & Vox,0.0
"The altarpiece consists of a predella with four reliefs and a central image –on which there are five streets–, plus two narrower sides (or guards) with images of saints and prophets. The divisions or streetcarls are also decorated with Gothic ornaments and small images. The streets are divided into three floors with a total of fourteen sculptural scenes of the New Testament, apart from the central crowning in the attic with a great Calvary. Some of the sculptures are of natural size and others are smaller; they were finished with polychromy and stewed. Finally, all the canopies that are on the sculptural scenes, as well as the divisions of gile, with gilded pacarriers.
-----
Question: How many relays does the predella have?
Answer: four
-----
Question: How are the divisions decorated?
Answer: with gothic ornaments and small images
-----
Question: What were all the canopies that are on the sculptural scenes with?
Answer:",with gold leaf,0.3333333333333333
