prompt,answer,prediction,prob,f1,bleu
"Barcelona en Comú renunciarà a un regidor en totes les votacions del ple de l'Ajuntament de Barcelona on no pugui participar el regidor de Junts per Catalunya Joaquim Forn. 'En cap cas s'aprofitarà l'absència de Forn per guanyar cap votació', han confirmat fonts del consistori a VilaWeb. Avui, el Tribunal Suprem ha refusat el permís perquè Forn sortís de la presó per assistir al ple de demà. El partit de la batllessa Ada Colau ha pres la decisió de no alterar les majories amb aquest gest. La renúncia de BComú tindrà un valor especial demà, quan el ple voti l'aprovació del cartipàs. Els nou regidors del comuns –a les eleccions en van aconseguir deu– i els vuit del seu soci de govern, el PSC, sumen disset, però la majoria de la votació se situarà en vint.
----
Pregunta: Quants regidors té el PSC en l'Ajuntament de Barcelona?
Resposta: vuit
----
Pregunta: Quan renunciarà Barcelona en Comú a un regidor?
Resposta:",en totes les votacions del ple de l'Ajuntament de Barcelona on no pugui participar el regidor de Junts per Catalunya Joaquim Forn,a partir de l'ajuntament de l'Ajuntament de Barcelona,0.64453125,0.3448275862068965,0.06352397262433489
"Els braços reial, militar i eclesiàstic lliuraren els donatius al rei el 18 de desembre. El 19 de desembre Pere III anul·là els abusos dels oficials contra els qui no havien anat a lluitar en l'enfrontament amb castellans de Pere el Cruel, i suprimí l'impost de 8 sous, una iniciativa que Bernat de Cruïlles ja havia proposat als abats en la seva carta del 26 de setembre. L'endemà, 20 de desembre, el rei retirà la prohibició d'acudir a la justícia eclesiàstica. D'aquesta manera un impost legal i estable pactat a les Corts amb les garanties necessàries substituïa els tres impostos improvisats anteriors, el que donava estabilitat a la situació i havia de contribuir a parar els peus a Castella en un moment que es percebia com a molt complicat.
----
Pregunta: De quants sous era l'impost que suprimí Pere III?
Resposta: de 8 sous
----
Pregunta: Qui suportava els abusos dels oficials?
Resposta: els qui no havien anat a lluitar en l'enfrontament amb castellans de Pere el Cruel
----
Pregunta: Què retirà el rei Pere III el 20 de desembre?
Resposta:",prohibició d'acudir a la justícia eclesiàstica,la prohibició d'acudir a la justícia eclesiàstica,0.53125,0.9090909090909091,0.8091067115702212
"El grup municipal de la CUP-Capgirem a l'Ajuntament de Barcelona ha criticat aquest dimecres que Transports Metropolitans de Barcelona (TMB) només ha publicat una part de la llista dels sous que cobren els seus directius: 'Falten les dades dels 550 membres de l'equip directiu fora de conveni'. En un comunicat, el partit també ha assenyalat que en el llistat falta per conèixer si en els complements estan quantificades 'les guàrdies en caps de setmana, el variable i els beneficis socials que gaudeixen', i ha recordat que aquesta informació hauria de ser pública des del 2007. Ha assegurat que li sembla 'una falta de respecte' que la presidenta de TMB i regidor de Mobilitat de Barcelona, Mercedes Vidal, parli de la gran responsabilitat que ostenten els càrrecs directius després de veure's obligada, en les seves paraules, a publicar els sous. CUP-Capgirem Barcelona ha asseverat que Vidal 's'oblida que qui transporta cada dia vides humanes són els treballadors de bus i metro', i que, amb aquest plantejament, no és estrany que la presidència de TMB no hagi inclòs un representant de la plantilla en el Consell d'administració. Ha insistit que l'estructura directiva de TMB aquesta 'sobredimensionada', i ha assegurat que si no es fa pública la política empresarial en relació amb l'aparell productiu, el grup municipal farà les denúncies pertinents i exigirà la imposició de multes.
----
Pregunta: De quants executius no s'ha publicat el sou?
Resposta: 550
----
Pregunta: Qui és la presidenta del TMB?
Resposta: Mercedes Vidal
----
Pregunta: Des de quan hauria de ser pública la informació dels sous?
Resposta:",des del 2007,"El grup municipal de la CUP-Capgirem a l'Ajuntament de Barcelona ha criticat aquest dimecres que Transports Metropolitans de Barcelona (TMB) només ha publicat una part de la llista dels sous que cobren els seus directius: 'Falten les dades dels 550 membres de l'equip directiu fora de conveni'. En un comunicat, el partit també ha assenyalat que en el llistat falta per conèixer si en els complements estan quantificades 'les guàrdies en caps de setmana, el variable i els beneficis socials que gaudeixen', i ha recordat que aquesta informació hauria de ser pública des del 2007. Ha assegurat que li sembla 'una falta de respecte' que la presidenta de TMB i regidor de Mobilitat de Barcelona, Mercedes Vidal, parli de la gran responsabilitat que ostenten els càrrecs directius després de veure's obligada, en les seves paraules, a publicar els sous. CUP-Capgirem Barcelona ha asseverat que Vidal's'oblida que qui transporta cada dia vides humanes són els treballadors de bus i metro', i que, amb aquest plantejament, no és estrany que la presidència de TMB no hagi inclòs un representant de la plantilla en el Consell d'administració. Ha insistit que l'estructura directiva de TMB aquesta'sobredimensionada', i ha assegurat que si no es fa pública la política empresarial en relació amb l'aparell productiu, el grup municipal farà les denúncies pertinents i exigirà la imposició de multes.
----
Pregunta: De quants executius no s'ha publicat el sou?
Resposta: 550
----
Pregunta: Qui és la presidenta del TMB?
Resposta: Mercedes Vidal
----
Pregunta: Des de quan hauria de ser pública la informació dels sous?
Resposta: 2007",0.6484375,0.023255813953488372,2.6718238012725214e-79
"El 1899 s'erigí una estàtua de Lesseps de més de 10 metres de bronze a l'entrada del Canal de Suez per tal de commemorar la seva contribució a l'empresa. L'estàtua representava Lesseps de cos sencer amb el braç estès donant la benvinguda als visitants que creuaven el canal. Va ser destruïda amb dinamita el 1956 durant la Crisi de Suez i posteriorment reconstruïda i reubicada en un petit jardí a Port Fuad.
----
Pregunta: Quants metres tenia l'estàtua de Lesseps que es va erigir el 1899?
Resposta: 10 metres
----
Pregunta: On era l'estàtua?
Resposta: a l'entrada del Canal de Suez
----
Pregunta: En quina posició estava el braç de l'estàtua?
Resposta: estès
----
Pregunta: De quin metall estava feta l'estàtua?
Resposta:",bronze,de bronz,0.71875,0.0,0.0
"El 25 de juliol de 1713 l'exèrcit borbònic —uns 25.000 homes comandats pel duc de Pòpoli—, inicià el setge a la ciutat, dins la qual s'hi havien aplegat molts combatents dels altres territoris de la Corona d'Aragó, sobre tot aragonesos, que formaren un regiment de cavalleria, un altre de fusellers, dos companyies de voluntaris a peu i una de voluntaris a cavall, i valencians i de les illes que organitzaren diverses companyies de voluntaris, i es van realitzar alguns atacs infructuosos a causa de l'escassa capacitat artillera dels atacants. S'escollí el general Villaroel, militar borbònic fins a l'ofensiva de 1710, comandant de l'exèrcit català ajudat, entre d'altres, pel valencià Joan Baptista Basset. Durant els primers mesos de setge les tropes borbòniques foren comandades pel duc de Pòpoli, que tot i la seva experiència, es veié incompetent a l'hora de mantenir un setge eficaç a la ciutat. La situació del Principat esdevingué progressivament més inestable pels borbònics a causa de les revoltes i l'aixecament de milers de persones arreu del país que lluitaren contra la invasió. L'exèrcit franco-espanyol fou incapaç d'aturar les guerrilles de la Plana de Vic i el Lluçanès i obligà Pòpoli a mobilitzar tropes destinades al setge de la ciutat comtal, fet que afluixà el bloqueig i permeté importants connexions entre la ciutat i la resistència de l'interior del país. En l'àmbit marítim el setge fou ineficaç i permeté l'arribada de queviures, pólvora i municions provinents de Mallorca a la ciutat de Barcelona.
----
Pregunta: Quants homes formaven l'exèrcit borbònic?
Resposta: uns 25.000
----
Pregunta: Com es veié el duc de Pòpoli a l'hora de mantenir un setge eficaç a la ciutat?
Resposta: incompetent
----
Pregunta: Què va permetre la ineficàcia del setge en l'àmbit marítim?
Resposta: l'arribada de queviures, pólvora i municions
----
Pregunta: Quin exèrcit fou incapaç d'aturar les guerrilles de la Plana de Vic i el Lluçanès?
Resposta:",franco-espanyol,el exèrcit franco-espanyol,0.64453125,0.5,1.384292958842266e-231
"El 1972, el físic francès Francis Perrin descobrí quinze reactors de fissió nuclear naturals antics i ja inactius en tres dipòsits de menes separats a la mina d'Oklo, al Gabon, a l'oest de l'Àfrica, que es coneixen col·lectivament com a «Reactors fòssils d'Oklo». El dipòsit de menes té una antiguitat de 1.700 milions d'anys; en aquella època, l'urani 235 constituïa aproximadament el 3% del total d'urani terrestre. Aquest percentatge és prou elevat per permetre l'ocurrència d'una reacció nuclear de fissió en cadena sostinguda, sempre que existeixin altres condicions necessàries. La capacitat dels sediments de l'entorn per contenir els productes nuclears residuals ha estat citada pel govern federal dels Estats Units com una evidència que dóna suport a la tesi sobre la viabilitat d'emmagatzemar combustible nuclear usat a Yucca Mountain.
----
Pregunta: Quants reactors va descobrir?
Resposta: quinze
----
Pregunta: On es va trobar Francis Perrin reactors de fissió nuclear?
Resposta: a la mina d'Oklo
----
Pregunta: Quina antiguitat té el dipòsit?
Resposta: 1.700 milions d'anys
----
Pregunta: Quin tipus d'urani contenien?
Resposta:",235,urani 235,0.55859375,0.6666666666666666,1.5319719891192393e-231
"Hi ha molts tipus de virus de les plantes, però sovint només causen una pèrdua de producció, i no és econòmicament viable intentar controlar-los. Els virus de les plantes sovint són transmesos d'una planta a una altra per organismes coneguts com a vectors. Normalment són insectes, però també s'ha demostrat que alguns fongs, nematodes i organismes unicel·lulars són vectors. Quan es considera econòmic el control d'infeccions per fitovirus (en els fruits perennes, per exemple), els esforços es concentren en matar els vectors i eliminar hostes alternatius com ara males herbes. Els fitovirus són inofensius pels humans i la resta d'animals, car només es poden reproduir en cèl·lules vegetals vives.
----
Pregunta: Quants tipus de virus de plantes hi ha?
Resposta: molts
----
Pregunta: Com es transmeten habitualment els virus d'una planta a un altra?
Resposta: per organismes coneguts com a vectors
----
Pregunta: Com resulten els fitovirus per als humans?
Resposta: inofensius
----
Pregunta: On es reprodueixen els fitovirus?
Resposta:",en cèl·lules vegetals vives,són inofensius,0.7265625,0.0,0.0
"Confirmades les quatre primeres morts per coronavirus a Catalunya Nord, que han estat en els últims tres dies, segons que informa France 3. Les quatre persones pertanyien a la comunitat gitana de Perpinyà i una d'elles era una noia de vint-i-quatre anys amb patologies prèvies. Dos de les quatre víctimes tenien setanta-cinc anys i l'altra quaranta-cinc, també amb patologies prèvies. A tot Catalunya Nord ahir es van registrar trenta-cinc casos de coronavirus, nou més que abans d'ahir. A Perpinyà hi ha dos focus principals on es concentren els contagis. El primer és el barri de Sant Jaume i el segon el barri de Vernet.
----
Pregunta: Quants focus importants de coronavirus hi ha a Perpinyà?
Resposta: dos
----
Pregunta: Què tenia la noia de vint-i-quatre anys que va morir?
Resposta: patologies prèvies
----
Pregunta: De quina comunitat eren les quatre persones mortes?
Resposta:",gitana,Gitana,0.828125,1.0,0.0
"El bloc independentista superaria el 50% dels vots si ara hi hagués eleccions al Parlament de Catalunya, segons les dades del baròmetre del Centre d'Estudis d'Opinió (CEO) que s'ha fet públic avui. ERC aconseguiria el 25,4% dels vots, JxCat el 19% i la CUP, 7,3% que, sumats, són el 51,7% dels vots. En escons, suposa la victòria d'ERC amb 38-39 diputats, per davant de JxCat, que n'obtindria 29-31. La CUP arribaria als 9-10 escons, de manera que l'independentisme sumaria entre 76 i 80 escons, per sobre dels 70 que té actualment. El tercer grup seria el PSC, amb 24-25 diputats, i Ciutadans s'enfonsaria fins als 14-16 escons. Els comuns tindrien una representació d'entre 11 i 13 diputats; el PP, de 4-5 i Vox podria entrar amb dos diputats.
----
Pregunta: Quants diputats obtindria ERC segons el CEO?
Resposta: 38-39
----
Pregunta: Qui superaria el 50% dels vots si ara hi hagués eleccions?
Resposta: El bloc independentista
----
Pregunta: Quina formació política podria entrar al Parlament?
Resposta:",Vox,"ERC, JxCat, CUP, PSC, Ciutadans",0.58203125,0.0,0.0
"El retaule consta d'una predel·la amb quatre relleus i una imatge central –sobre la qual hi ha cinc carrers–, més dos laterals més estrets (o guardapols) amb imatges de sants i profetes. Les divisions o entrecarrers també es troben decorades amb ornaments gòtics i petites imatges. Els carrers estan dividits en tres pisos amb un total de catorze escenes escultòriques del Nou Testament, a part del coronament central a l'àtic amb un gran Calvari. Algunes de les escultures són de mida natural i d'altres són més petites; van ser acabades amb policromia i estofat. Finalment, tots els dossers que es troben sobre les escenes escultòriques, així com les divisions d'entrecarrers, van ser daurats amb pa d'or.
----
Pregunta: Quants relleus té la predel·la?
Resposta: quatre
----
Pregunta: Com es troben decorades les divisions?
Resposta: amb ornaments gòtics i petites imatges
----
Pregunta: Amb què van ser daurats tots els dossers que es troben sobre les escenes escultòriques?
Resposta:",amb pa d'or,pa d'or,0.5703125,0.8,9.047424648113057e-155
