context,prompt,answer,prediction,prob,f1,bleu
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.
----
Pregunta: Qui lidera l’Estat Islàmic?
Resposta: àrabs sunnites
----
Pregunta: Què li falta a l’Estat Islàmic per part de la comunitat internacional?
Resposta: reconeixement
----
Pregunta: Què es va proclamar l’Estat Islàmic el 2014?
Resposta: califat
----
Pregunta: Quin tipus de grup és l’Estat Islàmic?
Resposta:",militant extremista gihadista wahhabita/salafista,militari,0.51171875,0.0,0.0
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.
----
Pregunta: Què li falta a l’Estat Islàmic per part de la comunitat internacional?
Resposta: reconeixement
----
Pregunta: Què es va proclamar l’Estat Islàmic el 2014?
Resposta: califat
----
Pregunta: Qui lidera l’Estat Islàmic?
Resposta:",àrabs sunnites,Abou Bakr al-Baghdadi,0.490234375,0.0,0.0
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.
----
Pregunta: Quin tipus de grup és l’Estat Islàmic?
Resposta: militant extremista gihadista wahhabita/salafista
----
Pregunta: Què li falta a l’Estat Islàmic per part de la comunitat internacional?
Resposta: reconeixement
----
Pregunta: Sobre un territori de quantes persones tenia el control l’Estat Islàmic el març del 2015?
Resposta:",deu milions,1 milion de persones,0.64453125,0.0,0.0
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.
----
Pregunta: Qui lidera l’Estat Islàmic?
Resposta: àrabs sunnites
----
Pregunta: Sobre un territori de quantes persones tenia el control l’Estat Islàmic el març del 2015?
Resposta: deu milions
----
Pregunta: Què li falta a l’Estat Islàmic per part de la comunitat internacional?
Resposta:",reconeixement,un reconeixement internacional,0.609375,0.5,1.384292958842266e-231
"""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.","""L'Estat Islàmic"", anteriorment conegut com a ""Estat Islàmic de l'Iraq i el Llevant"" i, abans d’això, com a ""Estat Islàmic de l'Iraq"" (que la majoria de detractors anomenaven amb l’acrònim Daesh), és un grup militant extremista gihadista wahhabita/salafista que està liderat i compost principalment per àrabs sunnites de l'Iraq i Síria. El 2014, el grup es va proclamar califat, amb autoritat religiosa, política i militar sobre tots els musulmans del món. El març del 2015[actualització], tenia el control sobre el territori ocupat per deu milions de persones a l'Iraq i Síria, i tenia un control nominal sobre petites zones de Líbia, Nigèria i l'Afganistan. (Tot i ser un estat autodescrit, no té reconeixement internacional.) El grup també opera o té filials en altres parts del món, inclosos el nord d'Àfrica i el sud d'Àsia.
----
Pregunta: Sobre un territori de quantes persones tenia el control l’Estat Islàmic el març del 2015?
Resposta: deu milions
----
Pregunta: Què li falta a l’Estat Islàmic per part de la comunitat internacional?
Resposta: reconeixement
----
Pregunta: Què es va proclamar l’Estat Islàmic el 2014?
Resposta:",califat,califat,0.68359375,1.0,1.821831989445342e-231
"A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.","A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.
----
Pregunta: Quant de temps van durar els combats a la guerra dels Set Anys?
Resposta: sis anys
----
Pregunta: Quan es va prendre Mont-real?
Resposta: el 1760
----
Pregunta: Quina va ser la primera batalla el 1754?
Resposta: batalla de Jumonville Glen
----
Pregunta: Quina època cobreix la guerra dels Set Anys?
Resposta:",1756 fins a la signatura del tractat de pau el 1763,1754-1763,0.47265625,0.0,0.0
"A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.","A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.
----
Pregunta: Quina època cobreix la guerra dels Set Anys?
Resposta: 1756 fins a la signatura del tractat de pau el 1763
----
Pregunta: Quan es va prendre Mont-real?
Resposta: el 1760
----
Pregunta: Quant de temps van durar els combats a la guerra dels Set Anys?
Resposta:",sis anys,7 anys,0.53125,0.5,1.5319719891192393e-231
"A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.","A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.
----
Pregunta: Quina època cobreix la guerra dels Set Anys?
Resposta: 1756 fins a la signatura del tractat de pau el 1763
----
Pregunta: Quant de temps van durar els combats a la guerra dels Set Anys?
Resposta: sis anys
----
Pregunta: Quan es va prendre Mont-real?
Resposta:",el 1760,1760,0.64453125,0.6666666666666666,6.702145341854094e-232
"A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.","A Europa, el teatre nord-americà de la guerra dels Set Anys no acostuma a rebre un nom diferent. Tot el conflicte internacional es coneix com la guerra dels Set Anys. ""Set anys"" fa referència als esdeveniments a Europa, des de la declaració de guerra oficial el 1756 fins a la signatura del tractat de pau el 1763. Aquestes dates no es corresponen amb els combats a l'Amèrica del Nord continental, on els combats entre les dues potències colonials es van concloure en gran mesura en sis anys, des de la batalla de Jumonville Glen, el 1754, fins a la presa de Mont-real, el 1760.
----
Pregunta: Quina època cobreix la guerra dels Set Anys?
Resposta: 1756 fins a la signatura del tractat de pau el 1763
----
Pregunta: Quant de temps van durar els combats a la guerra dels Set Anys?
Resposta: sis anys
----
Pregunta: Quina va ser la primera batalla el 1754?
Resposta:",batalla de Jumonville Glen,Jumonville Glen,0.67578125,0.6666666666666666,5.487540440520353e-155
"A causa de tenir cossos tous i gelatinosos, els ctenòfors són extremament poc freqüents com a fòssils, i els fòssils que s’han interpretat com a ctenòfors s’han trobat només a Lagerstätten, indrets on el medi era excepcionalment adequat per a la preservació dels teixits tous. Fins a mitjan dècada dels anys 90 només es coneixien dos espècimens prou bons per analitzar-los, ambdós pertanyien al grup terminal, del període devonià més inicial (Emsià). Es van trobar llavors altres tres possibles espècies a Burgess Shale i a altres roques canadenques d’edat similar, amb una antiguitat de 505 milions d’anys, corresponents al període Cambrià mitjà. Aparentment, cap dels tres no tenien tentacles però tenien entre 24 i 80 fileres de cilis, molt més que les 8 típiques de les espècies vives. També sembla que havien tingut estructures semblants a òrgans interns, a diferència del que es pot observar als ctenòfors vius. Una de les espècies fòssils observada per primera vegada el 1996 tenia una boca gran, aparentment envoltada per un extrem doblegat que podria haver estat muscular. Un any després, a la Xina es van trobar indicis que suggereixen que aquests ctenòfors estaven molt estesos en el Càmbric, però potser eren molt diferents de les espècies modernes –per exemple, les fileres de cilis d’un fòssil estaven sobre unes prominències. El fòssil Eoandromeda del període Ediacarià podria representar un ctenòfor.","A causa de tenir cossos tous i gelatinosos, els ctenòfors són extremament poc freqüents com a fòssils, i els fòssils que s’han interpretat com a ctenòfors s’han trobat només a Lagerstätten, indrets on el medi era excepcionalment adequat per a la preservació dels teixits tous. Fins a mitjan dècada dels anys 90 només es coneixien dos espècimens prou bons per analitzar-los, ambdós pertanyien al grup terminal, del període devonià més inicial (Emsià). Es van trobar llavors altres tres possibles espècies a Burgess Shale i a altres roques canadenques d’edat similar, amb una antiguitat de 505 milions d’anys, corresponents al període Cambrià mitjà. Aparentment, cap dels tres no tenien tentacles però tenien entre 24 i 80 fileres de cilis, molt més que les 8 típiques de les espècies vives. També sembla que havien tingut estructures semblants a òrgans interns, a diferència del que es pot observar als ctenòfors vius. Una de les espècies fòssils observada per primera vegada el 1996 tenia una boca gran, aparentment envoltada per un extrem doblegat que podria haver estat muscular. Un any després, a la Xina es van trobar indicis que suggereixen que aquests ctenòfors estaven molt estesos en el Càmbric, però potser eren molt diferents de les espècies modernes –per exemple, les fileres de cilis d’un fòssil estaven sobre unes prominències. El fòssil Eoandromeda del període Ediacarià podria representar un ctenòfor.
----
Pregunta: Què se suposa que representa el fòssil Eoandromeda del període Ediacarià?
Resposta: ctenòfor
----
Pregunta: Què no tenien els fòssils trobats al Burgess Shale?
Resposta: tentacles
----
Pregunta: Per què els ctenòfors són extremament poc freqüents com a fòssils?
Resposta:",tenir cossos tous i gelatinosos,els ctenòfors són extremament poc freqüents com,0.361328125,0.0,0.0
